schema,table_name,index_name,indexdef
public,club_settings,club_settings_pkey,CREATE UNIQUE INDEX club_settings_pkey ON public.club_settings USING btree (id)
public,club_unit_valuations,club_unit_valuations_pkey,CREATE UNIQUE INDEX club_unit_valuations_pkey ON public.club_unit_valuations USING btree (id)
public,club_unit_valuations,club_unit_valuations_valuation_date_key,CREATE UNIQUE INDEX club_unit_valuations_valuation_date_key ON public.club_unit_valuations USING btree (valuation_date)
public,club_unit_valuations,idx_club_unit_valuations_valuation_date,CREATE INDEX idx_club_unit_valuations_valuation_date ON public.club_unit_valuations USING btree (valuation_date)
public,deposits,deposits_confirmation_number_key,CREATE UNIQUE INDEX deposits_confirmation_number_key ON public.deposits USING btree (confirmation_number)
public,deposits,deposits_deposit_date_idx,CREATE INDEX deposits_deposit_date_idx ON public.deposits USING btree (deposit_date DESC)
public,deposits,deposits_member_id_idx,CREATE INDEX deposits_member_id_idx ON public.deposits USING btree (member_id)
public,deposits,deposits_pkey,CREATE UNIQUE INDEX deposits_pkey ON public.deposits USING btree (id)
public,deposits,deposits_sender_name_idx,CREATE INDEX deposits_sender_name_idx ON public.deposits USING btree (lower(sender_name))
public,email_queue,email_queue_pkey,CREATE UNIQUE INDEX email_queue_pkey ON public.email_queue USING btree (id)
public,ffa_timeline,ffa_timeline_pkey,CREATE UNIQUE INDEX ffa_timeline_pkey ON public.ffa_timeline USING btree (id)
public,financials_annual,financials_annual_pkey,"CREATE UNIQUE INDEX financials_annual_pkey ON public.financials_annual USING btree (symbol, statement_type, fiscal_date_ending)"
public,group_members,group_members_pkey,"CREATE UNIQUE INDEX group_members_pkey ON public.group_members USING btree (group_id, user_id)"
public,groups,groups_pkey,CREATE UNIQUE INDEX groups_pkey ON public.groups USING btree (id)
public,meeting_report_members,idx_meeting_report_members_meeting_report_id,CREATE INDEX idx_meeting_report_members_meeting_report_id ON public.meeting_report_members USING btree (meeting_report_id)
public,meeting_report_members,idx_meeting_report_members_member_id,CREATE INDEX idx_meeting_report_members_member_id ON public.meeting_report_members USING btree (member_id)
public,meeting_report_members,idx_meeting_report_members_member_name,CREATE INDEX idx_meeting_report_members_member_name ON public.meeting_report_members USING btree (member_name)
public,meeting_report_members,meeting_report_members_meeting_report_id_member_name_key,"CREATE UNIQUE INDEX meeting_report_members_meeting_report_id_member_name_key ON public.meeting_report_members USING btree (meeting_report_id, member_name)"
public,meeting_report_members,meeting_report_members_pkey,CREATE UNIQUE INDEX meeting_report_members_pkey ON public.meeting_report_members USING btree (id)
public,meeting_reports,idx_meeting_reports_report_month,CREATE INDEX idx_meeting_reports_report_month ON public.meeting_reports USING btree (report_month)
public,meeting_reports,meeting_reports_pkey,CREATE UNIQUE INDEX meeting_reports_pkey ON public.meeting_reports USING btree (id)
public,meeting_reports,meeting_reports_report_month_key,CREATE UNIQUE INDEX meeting_reports_report_month_key ON public.meeting_reports USING btree (report_month)
public,member_accounts,idx_member_accounts_member_id,CREATE INDEX idx_member_accounts_member_id ON public.member_accounts USING btree (member_id)
public,member_accounts,member_accounts_member_id_key,CREATE UNIQUE INDEX member_accounts_member_id_key ON public.member_accounts USING btree (member_id)
public,member_accounts,member_accounts_pkey,CREATE UNIQUE INDEX member_accounts_pkey ON public.member_accounts USING btree (id)
public,member_dues,idx_member_dues_member_id,CREATE INDEX idx_member_dues_member_id ON public.member_dues USING btree (member_id)
public,member_dues,member_dues_pkey,CREATE UNIQUE INDEX member_dues_pkey ON public.member_dues USING btree (id)
public,member_invite_logs,idx_member_invite_logs_member_id,CREATE INDEX idx_member_invite_logs_member_id ON public.member_invite_logs USING btree (member_id)
public,member_invite_logs,idx_member_invite_logs_sent_at,CREATE INDEX idx_member_invite_logs_sent_at ON public.member_invite_logs USING btree (sent_at DESC)
public,member_invite_logs,member_invite_logs_pkey,CREATE UNIQUE INDEX member_invite_logs_pkey ON public.member_invite_logs USING btree (id)
public,member_login_logs,member_login_logs_pkey,CREATE UNIQUE INDEX member_login_logs_pkey ON public.member_login_logs USING btree (id)
public,member_name_aliases,member_name_aliases_alias_key,CREATE UNIQUE INDEX member_name_aliases_alias_key ON public.member_name_aliases USING btree (alias)
public,member_name_aliases,member_name_aliases_pkey,CREATE UNIQUE INDEX member_name_aliases_pkey ON public.member_name_aliases USING btree (id)
public,member_personal_data,member_personal_data_member_id_key,CREATE UNIQUE INDEX member_personal_data_member_id_key ON public.member_personal_data USING btree (member_id)
