schema,table_name,policy,permissive,roles,cmd,qual,with_check
public,club_settings,Admins can manage club settings,PERMISSIVE,{public},ALL,"(EXISTS ( SELECT 1
   FROM profiles
  WHERE ((profiles.id = auth.uid()) AND (profiles.role = 'admin'::text))))",
public,club_settings,Members can read club settings,PERMISSIVE,{public},SELECT,true,
public,club_settings,select_authenticated_all_public_club_settings,PERMISSIVE,{authenticated},SELECT,true,
public,club_settings,select_public_all_public_club_settings,PERMISSIVE,{public},SELECT,true,
public,deposits,deposits admin all,PERMISSIVE,{public},ALL,"(EXISTS ( SELECT 1
   FROM members m
  WHERE ((m.auth_user_id = auth.uid()) AND (m.role = 'admin'::text))))","(EXISTS ( SELECT 1
   FROM members m
  WHERE ((m.auth_user_id = auth.uid()) AND (m.role = 'admin'::text))))"
public,deposits,deposits member read own,PERMISSIVE,{public},SELECT,"(member_id IN ( SELECT members.id
   FROM members
  WHERE (members.auth_user_id = auth.uid())))",
public,email_queue,select_authenticated_all_public_email_queue,PERMISSIVE,{authenticated},SELECT,true,
public,email_queue,select_public_all_public_email_queue,PERMISSIVE,{public},SELECT,true,
public,ffa_timeline,ffa_timeline_insert_any,PERMISSIVE,{authenticated},INSERT,,true
public,ffa_timeline,ffa_timeline_select_all,PERMISSIVE,{authenticated},SELECT,true,
public,ffa_timeline,select_authenticated_all_public_ffa_timeline,PERMISSIVE,{authenticated},SELECT,true,
public,ffa_timeline,select_public_all_public_ffa_timeline,PERMISSIVE,{public},SELECT,true,
public,groups,members can read groups,PERMISSIVE,{public},SELECT,"(EXISTS ( SELECT 1
   FROM group_members gm
  WHERE ((gm.group_id = groups.id) AND (gm.user_id = auth.uid()))))",
public,member_accounts,member_accounts admin delete,PERMISSIVE,{public},DELETE,is_admin(),
public,member_accounts,member_accounts admin full access,PERMISSIVE,{public},ALL,"(EXISTS ( SELECT 1
   FROM profiles p
  WHERE ((p.id = auth.uid()) AND (p.role = 'admin'::text))))",
public,member_accounts,member_accounts admin insert,PERMISSIVE,{public},INSERT,,is_admin()
public,member_accounts,member_accounts admin select,PERMISSIVE,{public},SELECT,is_admin(),
public,member_accounts,member_accounts admin update,PERMISSIVE,{public},UPDATE,is_admin(),is_admin()
public,member_accounts,member_accounts self read,PERMISSIVE,{public},SELECT,(member_id = auth.uid()),
public,member_accounts,select_authenticated_all_public_member_accounts,PERMISSIVE,{authenticated},SELECT,true,
public,member_accounts,select_public_all_public_member_accounts,PERMISSIVE,{public},SELECT,true,
